hospital_id,name,contract,is24,isBeautyParlor,isHotel,isStore,hasParkingLot,businessHours,latitude,longitude,address,subject,species
11,스테이동물병원,02-2282-7501,0,1,1,1,1,평일 10:00~20:00 / 토요일 10:00~18:00,37.54729549,127.0121202,서울특별시 성동구 매봉길 50 (옥수동 이편한세상옥수파크힐스),"중성화,자궁축농증,유치발치","개,고양이"
12,녹번동물병원,02-354-4110,0,0,0,0,0,서울 은평구 통일로 697,37.60816118,126.9316463,서울특별시 은평구 통일로 697,,
13,로얄동물병원,02-354-0975,0,1,1,0,1,"매일 09:00~22:00/야간응급 22:00~09:00(금,토 휴무)/미용 10:00~19:00(전화예약필수)",37.61116189,126.9168429,서울특별시 은평구 연서로 137 영진빌딩 1층,"치과,내과,외과,중성화","개,고양이"
14,오렌지동물병원,02-2297-7582,0,0,0,1,1,"평일 09:00~21:00 / 일,공휴일 10:00~20:00",37.55603542,127.033961,서울특별시 성동구 행당로8길 41-2 (행당동),,
15,노룬산동물병원,02-464-2748,0,1,0,1,1,평일 10:00~19:00/토요일 10:00~17:00,37.53691557,127.0617923,서울특별시 광진구 뚝섬로 462 정천빌딩,,"개,고양이,토끼"
16,선릉동물병원,02-557-1555,0,1,1,1,1,월~토 09:30~21:30/일 09:30~19:00,37.50690817,127.046795,서울특별시 강남구 선릉로 533 1층 선릉동물병원,"수술,호르몬비뇨기질환,내과,외과,안과,치과,피부과","개,고양이"
17,피카소동물병원,02-3427-6419,0,0,0,0,0,평일 09:00~20:00/토요일 09:00~19:00,37.55025743,127.1467347,서울특별시 강동구 구천면로 431,"내과,외과,치과,피부과","개,고양이,특수동물(햄스터,고슴도치,토끼)"
18,양지동물병원,02-874-3535,0,1,0,1,1,매일 09:00-22:00,37.48579106,126.9343691,서울특별시 관악구 남부순환로191길 6 제이에스빌딩 1층 (봉천동),"내과,외과,안과,치과,피부과","개,고양이"
19,사랑의동물병원,02-983-8575,0,1,0,1,1,평일 10:00~19:00/토 10:00~17:00/미용시간 10:30~17:00 (예약제),37.61763836,127.0105997,서울특별시 강북구 솔샘로 184 에스케이북한산시티 상가동 2동 209호 (미아동),"외과,내과,산과,안과,치과,피부과,임상병리과,이비인후과","개,고양이"
20,원동물병원,02-587-5618,0,0,0,1,0,평일 10:00~19:00 / 토요일 10:00~17:00,37.48588465,126.9685333,서울특별시 동작구 사당로 180 (사당동),"예방접종,수술,건강검진,치과,피부과,이비인후과,안과,내과,비뇨기,슬개골 탈구,외과","개,고양이"
21,보광동물병원,02-790-9808,0,0,0,0,0,"평일,토 09:00~19:00",37.52652688,127.00078,서울특별시 용산구 보광로 22-1,"심장병,합병증관리,일반외과,정형외과,안과,피부과","개,고양이"
22,Dr.주 동물병원,02-470-0030,0,1,1,1,1,평일 10:00~18:30/토 10:00~15:00,37.52881758,127.1371715,서울특별시 강동구 양재대로 1376 광안빌딩,"예방접종,건강검진,슬개골탈구,안과,중성화","개,고양이"
23,피닉스동물병원,02-813-7579,0,1,0,1,1,"평일 09:30~20:00/토,공휴일 09:30~17:00",37.49999501,126.9254578,서울특별시 동작구 상도로 43 1층 (대방동 정원빌딩),,
24,올바른동물병원,02-428-1661,0,1,0,1,1,평일 10:00~20:00/토 10:00~18:00,37.55154543,127.1277234,서울특별시 강동구 올림픽로 787 1층 (암사동 태성프라자),,
25,시마동물병원,02-908-7585,0,1,0,1,1,매일 10:00-20:00,37.64988086,127.0622369,서울특별시 노원구 동일로 1356 주공4단지상가 402동 2층,"내과,외과,안과,치과,피부과","개,고양이"
26,가재울봉쥬르동물병원,02-305-8275,0,1,0,0,0,평일 09:30~20:00 / 토요일 09:30~19:00,37.57717168,126.910871,서울특별시 서대문구 거북골로 178 (북가좌동),,
27,사랑의동물병원,02-577-7475,0,0,0,0,1,매일 09:00-20:00 / 화요일 09:00-18:00,37.47482287,127.0421743,서울특별시 서초구 마방로6길 18 (양재동),"피부과,귓병,폐렴,슬개골탈구,심장병,정신과,안과,비뇨기과","개,고양이"
28,형제종합동물병원,02-889-0575,0,1,0,1,1,"평일 09:00~21:00/토,공휴일 09:00~19:00/일 10:00~19:00",37.48234933,126.9442712,서울특별시 관악구 남부순환로 1747-1 1층,슬개골탈골,
29,리더스동물병원,02-2652-1865,0,1,0,1,1,매일 09:00~22:00,37.52164658,126.8742256,서울특별시 양천구 신목로 78 (신정동),"정형외과,자궁축농증,유선종양,일반외과,심장,호흡기,신경계질환,내시경,일반내과,안과,치과","개,고양이"
30,한스동물병원,02-303-1114,0,0,0,1,0,"월,화요일 10:00-20:00 / 수,목,금요일 10:00-19:00 / 토요일 10:00-16:00",37.57665406,126.9248616,서울특별시 서대문구 증가로 111,,
31,24시센트럴동물메디컬센터,02-3395-7975,1,1,0,1,1,매일 00:00~24:00,37.5586754,127.0337365,서울특별시 성동구 고산자로 207 (행당동),"내과,영상진료,치과,건강검진,안과,피부과,비뇨기과,심혈관,내분비","개,고양이"
32,미래동물병원,02-2608-0234,0,0,0,0,0,,37.53178689,126.8464108,서울특별시 강서구 강서로 45,,
33,충현동물종합병원,02-549-7582,1,0,0,0,0,"주간진료 08:00~20:00,야간진료 20:00-23:00,심야 응급진료 23:00~08:00",37.50903531,127.032754,서울특별시 강남구 논현로 621,"정기검진,예방접종,기생충 구제,치과,초음파,백혈병,특수촬영","개,고양이"
34,우주동물병원,02-2039-9930,0,0,0,1,0,매일 10:00-20:00,37.53566923,127.081912,서울특별시 광진구 자양로15길 30 1층 (자양동),"중성화,유선종양","개,고양이"
35,황동물병원,02-2278-0075,0,0,0,0,0,,37.56236485,126.9999891,서울특별시 중구 퇴계로 254-1,,
36,스마트동물병원 강동암사점,02-442-8875,0,0,0,1,1,"평일 10:00~21:00/주말,공휴일 10:00~19:00",37.55453853,127.1375249,서울특별시 강동구 고덕로 110 (암사동),"정형외과,비뇨기과,종양,심장내과,슬개골탈구,신경외과","개,고양이"
37,희망동물병원,02- 414-7588 ,0,1,0,0,1,"평일,토요일 09:30-19:00",37.51144775,127.0804798,서울특별시 송파구 올림픽로 88 올림픽타워,"치과,심장병,항암치료,비뇨기과,소화기,정형외과","개,고양이"
38,현대종합동물병원,02-999-9110,0,0,0,1,0,평일 09:00-21:00 / 토요일 09:00-19:00,37.64377248,127.0230504,서울특별시 강북구 노해로 94,"정형외과,성형외과,신경외과,이비인후과,안과,치과","개,고양이"
39,금천종합동물병원,02-894-8085,0,1,0,0,0,"평일 10:00~19:30,토 00:00~24:00",37.46384562,126.9035173,서울특별시 금천구 독산로 188,,
40,용봉가축병원,02-2603-0781,0,0,0,0,0,매일 09:00~20:00,37.53307025,126.8446045,서울특별시 강서구 강서로17길 20,"산과,내과,외과,피부과",
41,리즈동물병원,02-535-7579,0,1,1,0,1,"평일 10:00~20:00/일,공휴일 12:00~18:00(일요일 예약진료)",37.52095974,127.0155341,서울특별시 서초구 잠원로 221 한강상가 103 201호,"내과,비뇨기과,피부과,마취과,일반외과,정형,신경외과,안과,치과","개,고양이"
42,재활한방 나눔동물병원,02-888-0976,0,1,0,1,1,"월,화,목,금 10:00~19:00/토 10:30~17:30",37.47549808,126.9668405,서울특별시 관악구 남부순환로 1964 (봉천동),"침,뜸,한약,레이저 재활,디스크,관절질환,노령견만성질환,난치성질환","개,고양이"
43,남산동물병원,02-2256-8275,0,0,0,0,0,평일 09:30~19:00/토 09:30~19:00,37.54716677,127.0056772,서울특별시 중구 다산로 32 남산타운아파트 5상가 217호,,
44,마더스동물병원,02-445-7579,0,1,1,1,1,"월~토 10:00~20:00/일,공휴일 10:00~18:00",37.46575802,127.1012262,서울특별시 강남구 헌릉로 569,,
45,키움동물병원,02-949-7582,0,0,0,1,1,"평일 10:00~20:00/토,공휴일 10:00~18:00",37.62221888,127.0864399,서울특별시 노원구 노원로1길 9 (공릉동 해중빌딩),,
46,내품에동물병원,02-477-1775,0,1,1,1,1,"평일,토요일 10:00~21:00 / 일 10:00~18:00",37.53445052,127.1356292,서울특별시 강동구 천호대로 1120 LIG건영 리가 102호,,"개,고양이"
47,다온동물병원,02-499-7582,0,0,0,1,1,평일 10:00~20:00/토 10:00~19:00/일 13:00~17:00(예약진료),37.56596183,127.0814428,서울특별시 광진구 면목로 142,"내과,외과,안과,치과 ,피부과","개,고양이"
48,대치수동물병원,02-539-3339,0,1,0,1,1,월~토 10:00~20:00/ 일 13:00~18:00(예약진료),37.49961577,127.0659154,서울특별시 강남구 삼성로 212 (대치동 은마상가 1층 B120 B121),"영상진단내과,자궁축농증,잠복고환수술,중성화,요도결석","개,고양이"
49,24시 애니동물병원,02-926-8275,1,0,0,1,1,일반진료 매일 09:00~21:00 / 야간진료 21:00~09:00,37.58399292,127.019824,서울특별시 성북구 보문로 99 1층,"내과,외과,영상진단과,피부과,안과,치과",
50,하나동물병원,02-2666-6075,0,0,0,0,0,,37.57529759,126.8114778,서울특별시 강서구 금낭화로 109,,
51,아띠동물의료센터,02-6242-8275,0,1,1,1,1,평일 10:00-22:00 / 주말 10:00-20:00,37.57371714,127.0523495,서울특별시 동대문구 사가정로 51 (전농동),"예방,내과,외과,피부과,중성화,정형외과,치과","개,고양이"
52,24시 마곡M동물의료센터,02-2662-7515,1,1,1,1,1,매일 00:00-24:00 / 주간진료 10:00-21:30 / 야간진료 21:30-10:00,37.56858681,126.8162834,"서울특별시 강서구 방화대로33길 3 성은빌딩 1,2층","슬개골탈구,심장병,위내이물,방광결석,종양,스케일링,중성화,내과,심혈관,호르몬질환,일반외과,정형외과,영상특화진료","개,고양이"
53,신내동물병원,02-3422-0001,0,0,0,0,1,평일 10:00~19:00/토 10:00~17:00,37.60274705,127.0857372,서울특별시 중랑구 봉화산로 103,,
54,더샵동물메디컬센터,02-416-7512,0,0,0,0,1,매일 10:00~20:00,37.51748462,127.1034448,서울특별시 송파구 올림픽로35가길 9 2층 207호 더샵 동물메디컬센터,"자궁난소수술,잠복고환,중성화,비교기과,치과,내시경,정형외과,슬개골탈구,암,종양,안과,난치성귀,위식도,노령견(심장,신장)",개
55,대치성심동물병원,02-501-1139,0,1,1,0,1,월~토 10:00~19:00,37.49349436,127.059773,서울특별시 강남구 남부순환로 2921 1층 69-1호,"예방의학,정기건강검진,노령견 건강관리,호스피스치료,내과,외과,피부과","개,고양이"
56,도곡종합동물병원,02-554-8875,0,1,0,1,1,"월~토 10:30~19:00/일 11:00~00:00(예약진료)/미용 10:00~17:00(목요일,일요일 휴무)",37.49589179,127.0464763,서울특별시 강남구 언주로 314 강남프라자,"내과,안과,치과,외과",
57,참사랑동물병원,02-938-1122,0,0,0,0,0,평일 10:00~20:00/토 10:00~19:00,37.651747,127.0775592,서울특별시 노원구 한글비석로 272 101호 (중계동 중원코아빌딩),"내과,외과,안과,치과,피부과","개,고양이,특수동물(햄스터,고슴도치,토끼 등)"
58,바우미우동물병원,02-2237-3366,0,1,0,1,1,"월~목 09:00~21:00/금 09:00~20:00/토 09:00~18:00/일,공휴일10:00~18:00",37.5592822,127.0128582,서울특별시 중구 다산로 175 명덕빌딩,,
59,맑은동물병원,02-2234-1379,0,0,0,0,1,평일 10:00~19:00/토 10:00~13:00,37.57200714,127.0239066,서울특별시 동대문구 청계천로 417 108호 (신설동 청계천 대성 스카이렉스1),,
60,헬릭스동물메디컬센터 송파점,02-6953-7502,1,0,0,1,1,매일 09:00~22:00 (야간응급실 24시간운영),37.50377646,127.0878896,서울특별시 송파구 삼전로 56 헬릭스동물메디컬센터 송파점,"MRI,CT디스크수술,뇌종양,중증질환,안과,정형외과,흉부외과,일반외과,내시경,방광경,비강경,심혈관,영상의학,줄기세포,재활클리닉",
61,닥터그레이동물병원,02-529-7587,0,1,0,0,1,"평일 10:00-20:00 (목요일은 예약진료만 가능) / 토요일,공휴일 10:00-17:00",37.48886577,127.0520146,서울특별시 강남구 언주로30길 21 104-1호 (도곡동 아카데미스위트),"중성화,외과,내과,피부과,안과,치과,정형외과,산과,신겨외과,응급의학과","개,고양이"
62,엘동물병원,02-3295-3927,0,1,1,1,0,평일 10:00~19:00/토 10:00~15:00,37.57457899,127.0378289,서울특별시 동대문구 고산자로 393-5 (용두동),"일반내과,심장질환,뇌/척수신경계질환,일반외과,정형외과,임상병리/종양학,안과,피부과,이비인후과,예방의학과,치과",
63,좋아요 동물병원,02-2233-6675,0,0,0,1,1,평일 10:00~19:00 /토 10:00~18:00,37.56052401,127.0191058,서울특별시 중구 다산로36길 83,,
64,한수동물병원,02-306-8575,0,0,0,0,1,"화,수,목,공휴일 10:00~19:00/월,금 10:00~20:00",37.59971094,126.9214509,서울특별시 은평구 증산로 267 1층,"정형외과,외과,수술,신경외과",
65,공원옆동물병원,02-2650-8275,0,1,1,0,1,평일 10:00-19:30 / 토요일 10:00-17:00,37.51740654,126.8653068,서울특별시 양천구 목동서로 349 목동센트럴프라자 104호,"건강검진,예방접종,외과수술,내과,치과,특수동물진료","개,고양이,고슴도치,토끼,햄스터"
66,홍익동물종합병원,02-325-2026,0,0,0,0,0,"평일 09:30~19:00/토,공휴일 09:30~18:00",37.54810026,126.9183978,서울특별시 마포구 독막로 45 (합정동),,
67,우리동물병원생명사회적협동조합,02-335-3333,0,0,0,0,0,"평일 10:00-20:00 / 토,일부 공휴일 10:00-18:00",37.56205063,126.9157768,서울특별시 마포구 월드컵북로12길 22 우리동물병원생명사회적협동조합,"외과,내과,피부과,치과,이비인후과,정형외과,산과,안과,예방주사,건강검진",
68,청화종합동물병원,02-792-7602,0,1,1,0,0,매일 09:00~19:00,37.53119777,126.9956344,서울특별시 용산구 보광로 90,"해외검역운송,항암치료","개,고양이"
69,방배한강동물병원,02-593-7667,0,0,0,0,0,월~일 10:00~19:00,37.49170346,126.9914854,서울특별시 서초구 방배로 204,,
70,마음을나누는동물병원,02-365-7582,0,0,0,1,1,매일 10:00-19:00,37.55864165,126.9559728,서울특별시 서대문구 신촌로35길 10 e편한세상신촌 4단지상가 B1,"한방,피부과,건강검진,피부과,한방수의학,외과수술,디스크","개,고양이"
71,홍제동물병원,02-396-5525,0,1,0,1,1,매일 09:00~20:00 ,37.58962442,126.9427345,서울특별시 서대문구 통일로 463,"심장질환클리닉,안과,치과",
72,퓨리나 동물병원,02-900-9929,0,1,0,1,1,매일 10:00~20:00,37.64761847,127.0337033,서울특별시 도봉구 도봉로 469,,
73,노아동물병원,02-401-0075,0,0,0,0,1,매일 10:00~21:00,37.49299045,127.14389,서울특별시 송파구 오금로 498,,
74,파란동물병원,02-2692-8255,0,1,0,0,1,평일 10:00~20:00 / 토요일 10:00~19:00,37.5175541,126.8402791,서울특별시 양천구 신월로 149 1층,"슬개골탈구,십자인대단열,종양,외과수술,혈액검사,호르몬검사,영상진단검사",개
75,원러브동물의료센터,02-6956-0040,0,0,1,1,1,매일 10:00-21:00,37.59883026,127.0136255,서울특별시 성북구 아리랑로 75 상가3동 1층 110호 (돈암동 돈암코오롱하늘채),"수술전문,슬개골탈구,치과,중증내과진료","개,고양이"
76,영국동물병원,02-430-7005,0,0,0,0,0,매일 09:00~20:00,37.49421608,127.1330622,서울특별시 송파구 동남로18길 23 무영빌딩,,
77,자양동물병원,02-456-0975,0,0,0,0,1,평일 10:00~20:00/토 10:00~16:30/공휴일 10:00~18:00,37.53178828,127.079364,서울특별시 광진구 뚝섬로52길 4 1층,"중성화,예방접종,외이염,노령견묘","개,고양이"
78,헬프유기동물의료센터,02-583-7580,0,0,0,1,1,매일 11:00-20:00,37.48714763,126.9906719,서울특별시 서초구 서초대로15길 8-10 동오빌딩 1층,"정형외과,심장사상충,전발치,일반외과,일반내과","개,고양이"
79,심바동물병원,02-523-0275,0,0,0,1,1,매일 10:00~19:00,37.48548219,126.9852111,서울특별시 서초구 서초대로4길 4 대진빌딩 1층 (방배동),"심혈관질환,외과수술,초음파진단","개,고양이"
80,창문동물병원,02-988-0251,0,0,0,0,0,"평일 09:30~19:00/토,공휴일 09:30~17:00",37.6111386,127.0337659,서울특별시 강북구 월계로 35 (미아동),"내과,외과,안과,치과,피부과","개,고양이,특수동물 (햄스터,고슴도치 기본진료)"
81,안단테 동물병원,02-476-7582,0,0,0,1,1,평일 10:00~20:00/주말 10:00~17:00,37.54856188,127.1433308,서울특별시 강동구 양재대로 1601 (천호동 장수빌딩),"내과,외과,안과,치과,피부과,영상클리닉,중성화,건강검진",
82,쥬라기동물병원,02-488-7463,0,0,0,1,0,매일 10:00~20:00,37.54426222,127.1251948,서울특별시 강동구 올림픽로 703,,
83,펫토이동물병원,02-795-2184,0,1,0,1,0,평일 10:00~20:00,37.53352387,127.0016918,서울특별시 용산구 대사관로 32,"해외출입국전문,건강검진,중성화,피부과","개,고양이"
84,스머프동물병원,02-969-7582,1,0,0,0,1,매일 00:00~24:00,37.59822486,126.9250775,서울특별시 은평구 백련산로 145 (응암동),,
85,별난동물병원,02-905-9119,0,1,1,1,1,평일 10:00~21:00,37.65860848,127.0402955,서울특별시 도봉구 도봉로 603 1층 지층 (쌍문동),"내과,외과,피부과,안과","개,고양이"
86,24시지구촌동물메디컬센터,02-869-7582,1,1,1,1,1,매일 00:00~24:00,37.49878906,126.8847856,서울특별시 구로구 구로중앙로31길 30 유성빌딩,"슬개골탈구,근골격계,소화기계,비뇨기과,안과,내분비과,이비인후과,심혈관질환","개,고양이,새,특수동물"
87,굿모닝 동물병원,02-2060-8673,0,1,0,0,0,평일 10:00~22:00,37.49665789,126.8561728,서울특별시 구로구 개봉로 121,"내과,외과,사상충","개,고양이"
88,하나카동물병원,02-566-5852,0,1,0,1,1,"평일 10:00~20:00/토,공휴일 10:00~19:00",37.494267,127.0346878,서울특별시 강남구 역삼로 138 동광빌딩 1층 (역삼동),"재활치료,수술전문","개,고양이"
89,24시 청담우리동물병원,02-541-7515,1,1,1,1,1,매일 00:00~24:00,37.51449135,127.0528533,서울특별시 강남구 삼성로 614 (삼성동),"내과,안과,피부과.임상병리과.영산진단과,심혈관,내시경,정형외과,치과,특수동물","개,고양이,토끼,거북이,고슴도치,이구아나"
90,웰리스동물병원,02-978-4775,0,1,1,1,1,매일 10:00-19:00,37.63910978,127.0649151,서울특별시 노원구 섬밭로 258 건영백화점 5층,"중성화,건강검진,스케일링","개,고양이"
91,아이원동물병원,02-2217-8930,0,1,1,1,1,"평일,토요일 10:00-21:00 / 일요일 10:00-19:00",37.57195893,127.0575963,서울특별시 동대문구 전농로 80 1층 (답십리동),"일반내과,중성화,치과,종양제거","개,고양이"
92,웰니스동물병원 롯데월드점,02-6941-1480,0,0,1,1,1,평일 10:00~19:00 / 주말 10:00-17:00,37.51130961,127.0981418,서울특별시 송파구 올림픽로 240 s-911,"중성화,예방접종,건강검진",
93,24시서울플러스종합동물병원,02-2652-7515,0,0,0,0,0,,37.53481655,126.8632357,서울특별시 강서구 등촌로 55 신진통상빌딩,"내과,외과,안과,치과,피부과","개,고양이"
94,헬릭스동물암센터,02-6956-7502,0,0,0,0,1,"평일,주말 10:00~19:00",37.56588491,127.0033401,서울특별시 중구 을지로38길 20 뉴천지관광호텔 1층 (을지로5가),"동물암센터,종양센터,방사선치료,항암치료",
95,유림동물병원,02-900-7710,0,0,0,1,0,"평일 10:00-20:00 / 토요일,공휴일 10:00-19:00",37.6268416,127.0509709,서울특별시 노원구 월계로45길 28,,
96,쥬라기동물병원,02-3421-7588,0,0,0,0,0,"평일 09:30~20:00/토,공휴일 09:30~18:00",37.61634963,127.0926682,서울특별시 중랑구 신내로 211,,
97,헬릭스동물메디컬센터,02-2135-9119,1,0,0,0,1,매일 00:00~24:00,37.50488844,127.0022805,서울특별시 서초구 신반포로 162 강남귀금속타운(반포동 르본시티 2층),"방사선치료,외과,줄기세포,영상의학,건강검진,한방 및 재활,통합수술,내과,내시경",
98,당고개동물병원,02-932-7582,0,0,0,1,0,,37.66899318,127.0803249,서울특별시 노원구 덕릉로 810-1 (상계동),,
99,김정복동물병원,02-357-8538,0,0,0,0,0,,37.62137939,126.919476,서울특별시 은평구 통일로 879,,
100,고득영동물병원,02-2608-0973,0,0,0,0,1,매일 09:00~21:00,37.53142631,126.8550365,서울특별시 강서구 곰달래로 199 고득영동물병원,"내과,외과,안과,치과,피부과","개,고양이"
101,캣앤캣 고양이 병원,02-2677-2720,0,0,0,0,1,"월,화,수,금 10:00~20:00/토 10:00~18:30",37.52064888,126.8899059,서울특별시 영등포구 선유로 76 동국메뜨리앙 206호 (문래동3가),,고양이
102,우리아이동물메디컬센터,02-3664-0075,0,1,0,1,1,매일 09:0~22:00(진료 09:30~21:30),37.55818496,126.8391013,서울특별시 강서구 공항대로 284 동서빌딩 1층 2호 (내발산동),"심장질환,만성신장질환,내분비질환,종양,건강검진,노령성질환",
103,시민동물병원,02-456-4466,0,1,0,1,0,,37.53615438,127.084009,서울특별시 광진구 자양로 94 원창빌딩,"중성화,슬개골탈구수술,종양수술",
104,나리울동물병원,02-423-5755,0,0,0,0,0,평일 10:00~19:00/토 10:00~14:30,37.51313818,127.0930487,"서울특별시 강남구 영동대로 22 상가 5동 218,219호",,
105,동물병원 베를린,02-830-1494,0,0,0,1,1,"화,수,목,금,토요일 09:00-18:30",37.5571351,127.1645103,서울특별시 강동구 고덕로 353 그리시움1동상가 307호,"수술전문,치과",
106,광화문동물병원,02-722-8275,0,0,0,0,1,평일 09:00~20:30/토 09:00~19:00,37.57907838,126.9710864,서울특별시 종로구 자하문로 35-3 1층 101호,"건강증진 클리닉,피부,귀치료,중성화",
107,이로동물의료센터,02-887-1575,0,1,0,1,1,매일 10:00~21:00 (일반진료) / 매일 21:00-10:00 (응급진료),37.48422618,126.9368317,서울특별시 관악구 남부순환로 1678 1 2층 (신림동),"치과전문,심장전문,외과센터",
108,뉴타운동물병원,02-385-8275,0,0,0,0,0,평일 09:30~20:00,37.64225983,126.9231411,서울특별시 은평구 진관3로 70 은평뉴타운 상림마을 821동 101호,,
109,허브동물병원,02-867-7776,0,0,1,0,1,매일 10:00~20:30 / 일 11:00~17:00 (예약진료),37.48092799,126.911256,서울특별시 금천구 독산로 70-1 1층,"중성화,슬개골탈구,특수동물,스케일링",
110,옥수수동물병원,02-2291-7582,0,0,0,1,1,월~토 10:00~19:00,37.54170891,127.017975,서울특별시 성동구 독서당로40길 39 어울림상가 301~304호 (옥수동),,
111,제인동물병원,02-468-7582,0,1,0,1,1,평일 09:30~19:00 / 토요일 09:30~18:00,37.53904281,127.0547106,서울특별시 성동구 뚝섬로 395 (성수동2가),"외과수술,건강검진,행동클리닉,고양이 친화",
112,25시동물의료센터,02-419-1351,1,1,1,1,1,주간진료 매일 10:00~21:00 / 야간진료 21:00~10:00,37.50553777,127.0894121,서울특별시 송파구 삼전로 80,,"개,고양이"
113,사랑동물병원,02-851-1368,0,0,0,1,0,평일 10:00~20:00 / 토 10:00~17:00,37.49085189,126.8939078,서울특별시 구로구 도림로 98,"중성화,녹내장,슬개골탈구,구강질환",
114,강북24시N동물의료센터,02-984-0075,1,1,0,1,1,매일 00:00~24:00,37.60581661,127.0243684,서울특별시 성북구 삼양로4길 3,"외과,내과,치과,암센터,투석,재활","개,고양이"
115,세계로동물병원의료센터,02-868-3931,0,1,1,1,1,"매일 09:30~19:30 / 토,공휴일 09:30-18:00",37.48255534,126.917017,서울특별시 관악구 남부순환로 1497,"내과,외과,안과,치과,피부과","개,고양이"
116,차지우동물병원,02-2235-1533,0,0,0,1,0,"수,목,금요일 10:30-17:00 / 토요일 10:30-16:00",37.5629053,126.8404391,서울특별시 강서구 강서로62길 10,"외과,피부과,중증질환관리",
117,와이즈24시 동물병원,02-3446-8253,0,1,1,0,0,평일 10:00-19:30 / 토요일 10:00-16:00 / 일요일 휴진,37.51125805,127.0238849,서울특별시 강남구 학동로6길 7,"슬개골탈구,정형외과,치과,고양이 비뇨기계수술,위장내시경,호르몬질환",
118,역삼동물병원,02-556-5252,0,1,1,1,1,"평일,주말,공휴일 10:30~24:00",37.50542878,127.0410556,서울특별시 강남구 언주로 527 강남텔레피아빌딩,"내과,외과,안과,피부과,예방의학과","개,고양이"
119,24시잠실ON동물의료센터,02-418-0724,1,1,0,1,1,매일 10:00-19:00 (일반진료) / 매일 20:00-10:00 (응급진료),37.51156036,127.0791814,"서울특별시 송파구 올림픽로 76 J타워 1,2층","노령/중증질환,만성 장병증,노령견 치매,내시경,외과,한방/재활,고양이 클리닉","개,고양이"
120,온마음동물메디컬센터,02-449-0075,0,1,0,1,1,"평일,토,공휴일 09:00-21:00 / 일요일 10:00-20:00",37.49457599,127.1419201,서울특별시 송파구 오금로 473 정림빌딩 1층 (거여동),,"개,고양이,토끼,특수동물"
121,땅콩동물병원,02-3394-7075,0,0,0,1,0,매일 10:00-19:00,37.57258517,127.065289,서울특별시 동대문구 답십리로 224-1 1층(답십리동),,
122,치료멍멍동물병원 신사본원,02-545-0075,1,1,1,1,1,일반진료 매일 10:00~19:00,37.5223482,127.0351877,서울특별시 강남구 도산대로 309 삼공빌딩 2층,"골절,디스크,슬개골탈구,심장질환","개,고양이"
123,길음동물병원,02-913-1874,0,1,0,1,0,평일 09:00~20:00 / 토 09:00~17:00,37.60346787,127.0245556,서울특별시 성북구 동소문로 248 102동 106호,"건강검진,노령견 진료,수술전문",
124,함께하는동물병원,02-2299-3283,0,1,1,1,0,,37.5430214,127.0131257,서울특별시 성동구 독서당로 200 (옥수동),수술전문,
125,흑석동물병원,02-822-0275,0,1,1,1,1,매일 09:30~21:00,37.50806957,126.9640115,서울특별시 동작구 현충로 92,,"개,고양이"
