증상코드,증상분류 한글,증상목록코드,증상명,쉬운설명
e,다리/발/발톱,e017,뒷다리 구축,뒷다리가 뻣뻣해요
e,다리/발/발톱,e018,뒷다리 경련,뒷다리가 경련해요
e,다리/발/발톱,e019,"뒷다리관절 이완, 탈구, 뒷다리관절이완및탈구",뒷다리를 절룩거려요
e,다리/발/발톱,e020,"뒷다리 및 골반부, 염발음,후지골반마찰음, 골반",뒷다리에서 소리가 나요
e,다리/발/발톱,e021,뒷다리뼈 노출,뒷다리뼈가 보여요
e,다리/발/발톱,e022,"뒷다리관절 이완, 탈구",뒷다리가 빠졌어요
e,다리/발/발톱,e023,"뒷다리관절 운동성 감소, 뒷다리관절 만곡",뒷다리 관절이 굽고 불편해요
e,다리/발/발톱,e024,앞다리 구축,앞다리가 뻣뻣해요
e,다리/발/발톱,e025,"앞다리 경련, 근경련",앞다리를 경련해요
e,다리/발/발톱,e026,"앞다리 관절 이완, 탈구,앞다리관절이완및탈구",앞다리를 절룩거려요
e,다리/발/발톱,e027,"앞다리 염발음, 앞다리 마찰음",앞다리에서 소리가 나요
e,다리/발/발톱,e028,앞다리뼈 노출,앞다리뼈가 보여요
e,다리/발/발톱,e029,"탈구, 앞다리관절이완",앞다리가 빠졌어요
e,다리/발/발톱,e030,"앞다리 관절의 운동성 감소, 앞다리관절만곡증",앞다리 관절이 굽었어요
e,다리/발/발톱,e031,"뒷다리 만곡, 굽음",뒷다리가 굽었어요
e,다리/발/발톱,e032,"뒷다리 파행, 경직, 절름발이",뒷다리 길이가 짧아요
e,다리/발/발톱,e033,"앞다리 만곡, 굽음",앞다리가 굽었어요
e,다리/발/발톱,e034,"앞다리 파행, 경직, 절름발이",앞다리 길이가 짧아요
e,다리/발/발톱,e035,"앞다리 지각감퇴, 무감각증",앞다리를 만져도 무감각해요
e,다리/발/발톱,e036,"뒷다리 지각감퇴, 뒷다리무감각증",뒷다리를 만져도 무감각해요
e,다리/발/발톱,e037,근육긴장저하,팔다리가 축 늘어져있어요
e,다리/발/발톱,e038,뒷다리 반사 이상,뒷다리 반응이 과하거나 옅어요
e,다리/발/발톱,e039,앞다리 반사 이상,앞다리 반응이 과하거나 옅어요
e,다리/발/발톱,e040,앞다리통증,앞다리 쪽 통증이 있어요
e,다리/발/발톱,e041,앞발 통증,앞발 쪽 통증이 있어요
e,다리/발/발톱,e042,뒷다리통증,뒷다리 쪽 통증이 있어요
e,다리/발/발톱,e043,뒷발 통증,뒷발 쪽 통증이 있어요
e,다리/발/발톱,e044,깨진발톱,발톱이 갈라지거나 깨져요
e,다리/발/발톱,e045,발굽의과도한발육,발톱의 빠르게 자라요
e,다리/발/발톱,e046,"발톱, 갈퀴, 발굽의 농양, 궤양",발톱에 고름이 생기거나 일부가 없어져요
e,다리/발/발톱,e047,"발톱, 갈퀴, 발굽의괴저편또는박리",발톱이 짓무르거나 벗겨져요
e,다리/발/발톱,e048,"손톱, 발톱, 발굽, 갈퀴의 이물",발톱에 이물이 있어요
e,다리/발/발톱,e050,"다지증, 발가락결손증",발가락이 없거나 많아요
e,다리/발/발톱,e051,"발톱, 갈퀴, 발굽의 성장 결여",발톱 성장에 문제가 있어요
e,다리/발/발톱,e052,"발톱, 갈퀴, 발굽의 열감",발톱이 뜨거워요
e,다리/발/발톱,e053,"발톱, 갈퀴, 발굽의 냉감",발톱이 차가워요
f,등/허리,f001,"등부위부어오름, 종창, 종괴","등이 부어올랐어요, 등에 뭐가 났어요"
f,등/허리,f002,골반및회음부의종창,"골반에 뭐가 났어요, 골반이 부었어요"
f,등/허리,f003,"등부위 위축, 수척","등이 야위었어요, 작아졌어요"
f,등/허리,f004,"골반위축, 둔부위축",골반이 작아졌어요
f,등/허리,f005,골반 또는 회음부 이물,골반에 이물이 있어요
f,등/허리,f006,"등부위 관절부 운동성 감소, 결여",등 관절 운동성이 감소되었어요
f,등/허리,f007,후궁반장,척추가 휘었어요(후궁반장)
f,등/허리,f008,척추후만증,척추가 휘었어요(척추후만증)
f,등/허리,f009,척추전만증,척추가 휘었어요(척추전만증)
f,등/허리,f010,"척추측만증, 척주옆굽이증","척추가 옆으로 휘었어요(척추측만증, 척추옆굽이증)"
f,등/허리,f011,"등경련, 근경련",등 쪽에 경련이 있어요
f,등/허리,f012,"등부위 지각감퇴, 무감각증",등을 만져도 무감각해요
f,등/허리,f013,"요통, 허리 통증",허리 쪽 통증이 있어요
f,등/허리,f014,"골반, 둔부 통증",골반 쪽 통증이 있어요
g,머리,g001,"머리위축,머리수척,머리야윔, 얼굴위축,얼굴수척,얼굴야윔, 턱위축,턱수척, 혀 위축","머리, 얼굴, 턱, 혀가 작아졌어요"
g,머리,g002,"머리무력,머리처짐,머리마비, 얼굴무력,얼굴처짐,얼굴마비, 귀무력,귀처짐,귀마비, 턱 무력, 턱처짐, 턱마비","머리에 힘이 없어요, 마비됐어요"
g,머리,g003,목의 이물,목에 이물이 있어요
g,머리,g005,"머리, 얼굴, 목 경련, 근경련",머리에 경련이 있어요
g,머리,g006,"머리, 얼굴 뼈노출",머리뼈가 보여요
g,머리,g007,"머리, 얼굴, 목, 혀 지각감퇴, 무감각증",얼굴에 감각이 없어요
g,머리,g008,"통증, 얼굴, 턱, 귀",머리 쪽 통증이 있어요
g,머리,g009,"코의 종창,코종창",코에 뭐가 났어요
h,목,h001,"경부의 종괴, 목부위종창",목이 부어요
h,목,h002,"목의 경직, 확장",목구멍이 커졌어요
h,목,h003,"인두, 기관, 후두, 인두의종창",목 안에 뭐가 났어요
h,목,h004,"목,가슴,위축,야윈흉곽","목 가슴이 야위었어요, 작아졌어요"
h,목,h005,"목,처짐","목에 힘이 없어요, 마비됐어요"
h,목,h006,"사경, 목이 비틀어짐",목이 비틀어졌어요
h,목,h007,"머리,목관절의 이완, 탈구",목뼈가 빠졌어요
h,목,h008,"머리, 목의 염발음, 마찰음",목뼈에서 소리가 나요
h,목,h009,"머리, 목관절의 운동성 감소, 결여",목을 잘 못 움직여요
h,목,h010,"림프절 종대, 림프절 병증",림프절이 부었어요
h,목,h011,"목, 경부, 목구멍 통증",목 쪽 통증이 있어요
h,목,h012,"인두, 후두, 기관의 통증",목 안쪽 통증이 있어요
i,배변/배뇨,i001,분변내 기생충,분변에 기생충이 있어요
i,배변/배뇨,i002,설사,설사를 해요
i,배변/배뇨,i003,"배변량 감소, 변비, 배변 안됨",배변량이 감소하고 변비에요
i,배변/배뇨,i004,"이급후증, 배변곤란",배변활동이 원활하지 않아요
i,배변/배뇨,i005,지방변,"지방변(심한 악취, 은색 또는 회백색의 변)"
i,배변/배뇨,i006,"분변 색깔이 진함 , 암흑색 분변, 흑색변",변의 색이 어두워요
i,배변/배뇨,i007,"점액변, 점액양분변",점액성 변이 나와요
i,배변/배뇨,i008,"혈변, 분변내잠혈",분변 내에 잠혈이 있어요
i,배변/배뇨,i009,"혈변, 혈변배설",혈변을 배설해요
i,배변/배뇨,i010,분변 냄새의 이상,변의 악취가 심해요
i,배변/배뇨,i011,"이급후증, 배변곤란",배변 후에도 잔변이 남아있어요
i,배변/배뇨,i012,"방귀, 복부팽만",방귀와 가스가 많이 찼어요
i,배변/배뇨,i013,"항문, 직장 협착","항문, 직장이 좁아졌어요"
i,배변/배뇨,i014,"항문직장부위 종창,종괴",항문이 부었어요 
i,배변/배뇨,i015,직장탈,대변을 볼 때 직장이 빠져나와요(직장탈)
i,배변/배뇨,i016,혈뇨,소변에서 피가 나와요
i,배변/배뇨,i017,"적색뇨, 갈색뇨","소변이 적색, 갈색이에요"
i,배변/배뇨,i018,단백뇨,소변에 단백질이 섞여 나와요
i,배변/배뇨,i019,"혈색소뇨, 근색소뇨",소변이 붉어요
i,배변/배뇨,i020,빈뇨,배뇨 횟수가 너무 잦아요
i,배변/배뇨,i021,"거품섞인 오줌, 기뇨","거품, 가스가 포함된 배뇨가 나와요"
i,배변/배뇨,i022,당뇨,당뇨가 있어요
i,배변/배뇨,i023,배뇨곤란,배뇨까지 시간이 오래 걸려요
i,배변/배뇨,i024,요실금,소변이 흘러나와요
i,배변/배뇨,i025,다뇨증,소변의 양이 너무 많아요
i,배변/배뇨,i026,"핍뇨, 무뇨증",소변의 양이 현저히 적어요
i,배변/배뇨,i027,"방광의 결석 , 종창 , 종괴 촉진","방광에 뭐가 났어요, 부었어요"
i,배변/배뇨,i028,방광 염발음,방광에서 공기 통하는 소리가 들려요
i,배변/배뇨,i029,방광탈출,방광이 노출됐어요
j,생식기,j001,"신장 , 요관 촉진시 통증",음부에 손을 대면 아파해요
j,생식기,j002,"외음부, 질의 통증",음부 쪽 통증이 있어요
j,생식기,j003,음경 통증,음경 쪽 통증이 있어요
j,생식기,j004,고환 통증,고환 쪽 통증이 있어요
j,생식기,j005,포피 통증,"포피, 음경꺼풀 쪽 통증이 있어요"
j,생식기,j006,"무발정 , 발정휴지",발정이 없어요
j,생식기,j007,"불규칙한 발정과 발정사이 기간, 발정주기 이상(길거나 짧음)",발정이 불규칙적이에요
j,생식기,j008,"비정상적인 발정기간, 발정기간의 이상",발정기간이 이상해요
j,생식기,j009,"외음부 궤양, 수포, 미란, 절창, 열상, 구진, 농포","외음부에 발진, 화상이 있어요"
j,생식기,j010,"외음부, 질의 점액성 분비물","외음부, 질의 점액성 분비물이 나와요"
j,생식기,j011,"외음부, 질의 화농성 분비물","외음부, 질의 화농성 분비물이 나와요"
j,생식기,j012,"외음부 , 질의 악취냄새 , 분비물, 회음부 질의 악취 분비물","외음부, 질의 악취나는 분비물이 나와요"
j,생식기,j013,"질, 자궁경부의 궤양, 수포, 열창, 구진, 농포","질, 자궁경부에 발진이 있어요"
j,생식기,j014,"질, 외음부의 괴사","질, 외음부에 괴사가 있어요"
j,생식기,j015,"질탈, 질외번",질벽이 외부로 나와요
j,생식기,j016,"자궁, 자궁경부의 화농성, 점액양 분비물","자궁, 자궁경부의 화농성, 점액성 분비물이 나와요"
j,생식기,j017,"자궁탈, 자궁경부탈출","자궁, 자궁경부가 탈출했어요"
j,생식기,j018,"암컷의 불임증, 저 수태, 암컷 불임",암컷이 불임이에요
j,생식기,j019,"한배 새끼 수가 적음, 산자수가 적음, 산자수 감소, 작은 산자수",출산 시 새끼 수가 적어요
j,생식기,j020,난산,난산했어요
j,생식기,j021,"유산, 사산, 허약한 새끼 분만","유산, 사산, 새끼가 허약해요"
j,생식기,j022,태반 잔존 태아막 잔존,"태반, 태자막이 남았어요"
j,생식기,j024,수컷 불임,수컷이 불임이에요
j,생식기,j025,"성욕, 발기부전, 발기 부전","성욕, 발기 부전"
j,생식기,j026,"혈정액증, 적색정액",정액이 붉어요
j,생식기,j027,"음경 , 포피에 구진, 농포, 수포, 궤양","음경, 포피에 발진이 있어요"
j,생식기,j028,"음경의 열상 , 절창",음경이 화상을 입었어요
j,생식기,j029,"음낭, 고환의 절창, 열상","음낭, 고환이 화상을 입었어요"
j,생식기,j030,"포피의 열상, 절창",포피가 화상을 입었어요
j,생식기,j031,"음경 , 포피의 화농성 분비물","음경, 포피에 고름이 나와요"
j,생식기,j032,포피탈출,포피탈출
j,생식기,j033,"음경 구부러짐 , 만곡",음경이 치우쳐져 있어요
j,생식기,j034,포경,포경
j,생식기,j035,"감돈포경 , 음경 지속 발기",발기가 풀리지 않아요
j,생식기,j036,"음낭, 고환 크기 이상","음낭, 고환 크기가 이상해요"
j,생식기,j037,"고환 결손 , 잠복",고환이 없거나 숨어있어요
j,생식기,j038,"고환, 음낭 촉진시 열감","고환, 음낭이 뜨거워요"
j,생식기,j039,포피 촉진시 열감,포피가 뜨거워요
j,생식기,j040,음경 촉진시 열감,음경이 뜨거워요
j,생식기,j041,"음경, 포피, 고환, 음낭의 종대, 종괴","음경, 음낭에 뭐가 났어요, 부었어요"
j,생식기,j042,"외음부, 음핵의 종대, 종괴","외음부, 음핵에 뭐가 났어요, 부었어요"
j,생식기,j043,질 종창,질이 부었어요
k,소화불량,k001,"연하 곤란, 연하 장애",음식을 삼키는 것을 힘들어 해요
k,소화불량,k002,연하빈도 증가,음식을 삼키는 빈도가 증가해요
k,소화불량,k003,"구토, 역류",구토와 역류를 해요
k,소화불량,k004,토혈증,피를 토해요
k,소화불량,k005,"구역질, 구토",구역질과 구토를 해요
k,소화불량,k006,"1위 운동성 저하, 위 무력증, 위 운동성의 횟수와 강도 감소",위의 운동이 부자연스러워요
k,소화불량,k009,고창증,고창증(발효성 사료 섭취로 인한 가스에 의한 위 팽창) 
k,소화불량,k010,복명(장 연동음)의 증가,배에서 꾸럭꾸럭 하는 소리가 많이 나요
k,소화불량,k011,복명(장연동음) 감소,배에서 꼬르륵 소리가 줄고 장폐색증이 나타나요
l,심장,l001,"빈맥, 빠른 맥박, 심박",맥박이 빠르고 심박수가 증가해요
l,심장,l002,동성 부정맥,동성 부정맥
l,심장,l003,동 정지,심장이 안 뛰어요
l,심장,l004,동 빈맥,심박수가 증가해요(동 빈맥)
l,심장,l005,심방 조동,심장이 불규칙하게 수축되요(조동)
l,심장,l006,심방 세동,심장이 불규칙하게 떨려요(세동)
l,심장,l007,"심방 빈맥, 빈박",심장이 평소보다 빨리 뛰어요
l,심장,l008,"부정맥, 불규칙한 심박 및 맥박",심박수가 불규칙해요
l,심장,l009,"서맥, 느린 심박동이나 맥박",심박수가 느려요
l,심장,l010,"이상심음, 심외 잡음, 진전음",심외 잡음이 들려요
l,심장,l011,"약맥, 소맥",맥박이 약해요
l,심장,l012,맥박 강도 증가,맥박의 강도가 증가했어요
l,심장,l013,심음의 감소,심음이 줄었어요
m,일반 증상,m001,"발열, 고열, 고체온",열이 나요
m,일반 증상,m002,"저체온증, 낮은체온",체온이 낮아요
m,일반 증상,m003,탈수,탈수증상이 있어요
m,일반 증상,m004,"다한증, 과도한 발한, 땀 흘림",땀이 많이 나요
m,일반 증상,m005,"다음, 지나친 갈증, 많이마심",물을 많이 마셔요
m,일반 증상,m006,"갈증이줄어듬, 갈증이없음",물을 안 마셔요
m,일반 증상,m007,발한 감소,땀이 안 나요
m,일반 증상,m008,"성장지연, 발육정지, 체중증가없음",몸이 안 커요
m,일반 증상,m009,"비만, 체중과다, 과체중",비만이에요
m,일반 증상,m010,"체중미달, 수척, 건강상태 불량, 증체율 불량",살이 안 쪄요
m,일반 증상,m011,체중감소,살이 빠져요
m,일반 증상,m012,"전신파행, 경직, 절름발이",전체적으로 경직돼있어요
m,일반 증상,m013,"전신무력, 마비,전신허약,부전마비","온몸에 힘이 없어요, 마비됐어요"
m,일반 증상,m014,"기립불능, 쇠약",힘이 없고 일어나지를 못해요
m,일반 증상,m015,"과유연, 운동거리조절이상","거리감각, 힘감각이 떨어졌어요"
m,일반 증상,m016,"출혈, 응고부전",출혈이 있어요
m,일반 증상,m017,"근 긴장증, 근 경직증",근육이 굳은 채로 있어요
m,일반 증상,m018,피하 지방 조직층 반사 이상(증가나 감소),근육 조직 반응이 과하거나 옅어요
n,입/턱/치아,n001,"저작곤란, 잘 씹지 못함",잘 씹지를 못해요
n,입/턱/치아,n002,"개구장애, 개구곤란",턱과 입을 열고 닫지 못해요
n,입/턱/치아,n003,"턱의 기형, 하악단소증, 상악전돌증",턱이 기형이에요
n,입/턱/치아,n004,"구개열, 구순열","구순열, 구개열이 있어요"
n,입/턱/치아,n005,구강점막의 건조,구강점막이 건조해요
n,입/턱/치아,n006,"구강점막의 울혈, 홍반, 발적",구강점막이 빨개요
n,입/턱/치아,n007,"구강점막의궤양, 수포, 플라크(반), 농포, 미란, 절창","구강점막에 궤양, 수포 등이 있어요"
n,입/턱/치아,n008,"과도한 유연, 침흘림, 타액분비과다, 입에거품",침을 과하게 흘리거나 거품을 물어요
n,입/턱/치아,n009,"이빨 흔들림, 풍치",치아가 흔들거려요
n,입/턱/치아,n010,과다 혹은 부적절한 치열,치아가 과잉이에요
n,입/턱/치아,n011,"이빨의 결손,  이빨수 감소",치아의 수가 줄고 결손됐어요
n,입/턱/치아,n012,유치(젖니) 잔존,유치가 남아있어요
n,입/턱/치아,n013,과도한 또는 불규칙한 이빨 마모,과도하게 치아가 마모됐어요
n,입/턱/치아,n014,이빨의 교합부전,위턱과 아래턱의 치열이 정확히 안 맞물려요
n,입/턱/치아,n015,"이빨 색깔, 이빨의 이상",치아의 색이 비정상적이에요
n,입/턱/치아,n016,"충치, 치아 우식증",치아가 패이고 손상됐어요
n,입/턱/치아,n017,"이빨을 감, 이갈이",이갈이를 해요
n,입/턱/치아,n018,"이빨에 금이감, 이빨파열",치아가 금이가고 파열됐어요
n,입/턱/치아,n020,"혀의 궤양, 수포, 미란, 궤양, 수포, 절창, 열상","혀에 궤양, 수포, 물집 등이 있어요"
n,입/턱/치아,n021,"혀의 돌출, 내밀기",혀가 돌출됐어요
n,입/턱/치아,n022,"인두의 홍반, 발적",인두가 빨개요
n,입/턱/치아,n023,"인두의 궤양, 수포, 미란, 구진","인두에 궤양, 수포, 상처 등이 있어요"
n,입/턱/치아,n024,"구강, 혀의 종창, 종괴",입 안에 뭐가 났어요
n,입/턱/치아,n025,"구강 통증, 구강점막 및 혀의 통증",입 쪽 통증이 있어요
o,털/피부,o001,피부 통증,피부를 만지면 아파해요
o,털/피부,o002,피부결손,피부결손이 있어요
o,털/피부,o003,"피부 과잉 색소 침착, 피부색소과잉침착",피부가 어두워졌어요 
o,털/피부,o004,"피부색소침착감소 , 백반증 , 백피증",피부가 하얘졌어요
o,털/피부,o005,"점막, 피부 창백, 빈혈",피부가 창백해요
o,털/피부,o006,피부의 화농성 분비물,피부에 고름이 생겨요
o,털/피부,o007,피부의 악취,피부에서 악취가 나요 
o,털/피부,o008,"피부홍반, 염증, 발적",피부에 붉은 염증이 생겼어요
o,털/피부,o009,"소양감, 가려움",피부를 자꾸 긁어요
o,털/피부,o010,피부 구진,피부에 딱딱한 게 생겼어요
o,털/피부,o011,피부 농포,고름이 찬 발진이 있어요
o,털/피부,o012,"피부 수포, 소수포, 물집",물집이 있어요
o,털/피부,o013,피부 플라크(반),피부 병변이 생겼어요
o,털/피부,o014,"피부 팽진, 발진",피부에 두드러기가 났어요
o,털/피부,o015,피부 부종,피부가 부었어요
o,털/피부,o016,"피하 염발음, 피하기종",피하에 공기가 들어갔어요
o,털/피부,o017,"피부 누관, 공동형성",피부 사이 공간이 생겼어요
o,털/피부,o018,"피부의 열상, 열창, 교상","피부에 화상, 물린 상처가 있어요"
o,털/피부,o019,"피부의 궤양, 미란, 찰과상",피부에 상처가 생겼어요
o,털/피부,o020,"점상 또는 반상출혈, 타박상","붉은 반점이 보여요, 타박상이 있어요"
o,털/피부,o022,"피부, 털의 건조","피부, 털이 건조해요"
o,털/피부,o023,"지루성 피부, 털","지루성 피부, 털이에요"
o,털/피부,o024,"피부 인설, 비듬",피부에 비듬이 있어요
o,털/피부,o025,"피부의 가피, 딱지",피부에 딱지가 있어요
o,털/피부,o026,"피부 괴사, 딱지, 괴저",피부가 괴사했어요
o,털/피부,o027,피부 반흔,피부에 흉터가 있어요
o,털/피부,o028,피부의 열감,피부가 뜨거워요
o,털/피부,o029,"피부의 냉감, 피부,귀,다리 냉감, 차가운 피부,피부냉감",피부가 차가워요
o,털/피부,o030,"과각화증, 두꺼운 피부",피부가 두꺼워요
o,털/피부,o031,앏은 피부,피부가 얇아요
o,털/피부,o032,주름진 피부,피부가 주름져요
