,질병명,축종,정의,주요증상
16,림프종/림프육종(Lymphoma/Lymphosarcoma),"개, 고양이","림프계 조직이나 피부, 간, 비장과 같은 기관에 발생하는 림프구계 세포의 종양이며 소동물에서 가장 흔한 림프증식성 질환", 결막 공막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 과각화증 두꺼운피부 구강점막의울혈 홍반 발적 구강점막의궤양 수포 플라크(반) 농포 미란 절창 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 외음부궤양 수포 미란 절창 열상 구진 농포 외음부 음핵의종대 종괴 점상또는반상출혈 타박상 점막 피부창백 빈혈 체중감소 탈모 무모증 피부구진 피부농포 피부또는피하의종창 종괴 결절 피부부종 피부인설 비듬 비늘 피부통증 피부플라크(반) 피부 털 깃털이축축함 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 혀의궤양 수포 미란 궤양 수포 절창 열상
17,모낭충증(Demodicosis),"개, 고양이",Demodex라는 기생충이 피부 모낭에 비정상적으로 증식하여 생긴 염증성 피부질병. , 과각화증 두꺼운피부 귀긁기 귀의진드기 응애또는기생충분비물 귀의화농성 점액양분비물 귓밥이많음 악취 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 뒷발통증 머리흔들기 무기력 침울 졸림 생기없음 발열 고열 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리파행 경직 절름발이 앞발통증 전신파행 경직 절름발이 체중감소 탈모 무모증 피부구진 피부균열 열구 피부농포 피부또는피하의종창 종괴 결절 피부반흔 흉터 피부부종 피부색소과잉침착 피부인설 비듬 비늘 피부통증 피부플라크(반) 피부의가피 딱지 피부의궤양 미란 찰과상 피부의악취 냄새 피부의화농성분비물 피부홍반 염증 발적
18,문맥성 고혈압(Portal hypertension),"개, 고양이","문맥의 수압이 정상 이상인 질병",거리감각불능 거리감각과대및과소 걷다앞으로넘어짐 목적없이배회 구토 다뇨증 다음 많이마심 지나친갈증 떨림 전율 오한 머리박치기 무기력 침울 졸림 생기없음 무기력 침울 졸림 생기없음 발육정지 체중증가없음 성장지연 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 복부팽만 복수 비정상적인자세 선회운동 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 시력상실 운동실조 협조불능 절뚝거림 넘어짐 전신허약 부전마비 마비 비정상적또는공격적행동 습성이바뀜 진전 체중감소 혈변 분변내잠혈 혼수 혼미 혼미 흥분 헛소리 광분
19,"면역증식성 장병증, 바센지종 (Immunoproliferative enteropathy of basenjis)",개,"바센지품종의 개에서 만성적인 간헐적 설사, 식욕감퇴, 림프형질세포성 장염, 단백질 감소성 장염, 흡수부전, 소화부전, 혈청 Ig A의 증가에 의한 고감마글로불린혈증등이 특징인 면역과 관련된 질병  ",각막의부종 혼탁 거친피모 곤두선털 골반위축 둔부위축 야윔 둔부위축 야윔 과각화증 두꺼운피부 구토 뒷다리위축 야윔 등부위위축 야윔 머리 얼굴 턱 혀위축 수척 야윔 목 가슴 위축 야윈흉곽 복수 심방빈맥 빈박 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리위축 야윔 점막 피부창백 빈혈 체중감소 탈모 무모증 피부부종 피부색소과잉침착 피부인설 비듬 비늘 피부 털의건조 피부의가피 딱지 피부의궤양 미란 찰과상
20,백합중독증(Lily poisoning),"개, 고양이","널리 장식용으로 쓰이는 백합속과 hemerocallis 속 식물을 섭식한 고양이에게  독작용을 일으키는 중독증으로 신장에 독성이 강함 ",거리감각불능 거리감각과대및과소 결막 공막의발적 결막 공막의충혈 혈관의이상 과도한침흘림 유연 입에거품 구강점막의궤양 수포 플라크(반) 농포 미란 절창 구토 기립불능 다우너 다뇨 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 당뇨 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 복강외부압박에따른통증 부정맥 불규칙한심박및맥박 서맥 느린심박동이나맥박 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 신장종대촉진 신장 요관촉진시통증 약맥 소맥 요통 허리통증 허리통증 운동실조 협조불능 절뚝거림 넘어짐 저체온증 낮은체온 전신허약 부전마비 마비 점막 피부창백 빈혈 탈수 피부 귀 다리냉감 핍뇨 무뇨증 요정체 혈뇨 호흡시이상한냄새 구강의악취
21,버섯중독(Mushroom toxicity),개,독버섯을 섭취로 인한 중독,거리감각불능 거리감각과대및과소 과도한침흘림 유연 입에거품 구강점막의울혈 홍반 발적 구토 급사 돌연사 기립불능 다우너 다호흡 빠른호흡(빈호흡) 과호흡 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 방향감각상실 기억상실 복강외부압박에따른통증 심방빈맥 빈박 빛에대한동공의비정상반응 산동 확장된동공 서맥 느린심박동이나맥박 설사 하리 소리계속지르기 소리가커짐 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 약맥 소맥 운동실조 협조불능 절뚝거림 넘어짐 이급후증 배변곤란 저체온증 낮은체온 전신허약 부전마비 마비 점막 피부창백 빈혈 축동 동공축소 탈수 토혈증 혈뇨 혈변 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달
22,부갑상선기능항진증(Hyperparathyroidism),"개, 고양이","혈중 부갑상선 호르몬(parathyroid hormone;PTH) 농도가 비정상적으로 높게 지속되는 질환.",거리감각불능 거리감각과대및과소 구토 다뇨증 다음 많이마심 지나친갈증 떨림 전율 오한 목부위종창 경부의종괴 목소리변성 무기력 침울 졸림 생기없음 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 심방빈맥 빈박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 약맥 소맥 요통 허리통증 허리통증 운동실조 협조불능 절뚝거림 넘어짐 이동거부 전신허약 부전마비 마비 진전 점막 피부창백 빈혈 체중감소 탈수
23,부신피질 기능저하증(Hypoadrenocorticism),"개, 고양이","# 부신피질에서 분비되는 글루코코티코이드 또는 미네랄로코티코이드의 분비부족으로 인한 내분비 장애성 질병 개, 고양이에서 드문 질병",구토 기립불능 다우너 다뇨증 다음 많이마심 지나친갈증 떨림 전율 오한 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 배변량감소 변비 배변안됨 복강외부압박에따른통증 사지마비 무기력 서맥 느린심박동이나맥박 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 약맥 소맥 연하곤란 연하장애 운동기피 쉽게지침 이동거부 저체온증 낮은체온 전신허약 부전마비 마비 진전 점막 피부창백 빈혈 체중감소 탈수 피부 귀 다리냉감
24,"부신피질기능항진증(Hyperadrenocorticism, HAC, Cushing syndrome)","개, 고양이","부신피질에서 비정상적으로 코티솔이 다량 분비되거나 다량의 글루코코티코이드 투여시 발생하는 질병",간 비장종대 비장종대 간종대 거친피모 곤두선털 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 당뇨 무기력 침울 졸림 생기없음 복부팽만 비만 체중과다 과체중 비정상적또는공격적행동 습성이바뀜 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 전신허약 부전마비 마비 지루성피부 털 깃털 깃털 체중감소 탈모 무모증 피부구진 피부색소과잉침착 피부인설 비듬 비늘 피부 털의건조 피부가비쩍마름 야윈피부 호흡곤란 개구호흡 그르렁거림 가쁜호흡
25,비강과 코(비)인두 폴립(Nasal and nasopharyngeal polyps),"개, 고양이","비강이나 인두 부위 점막으로부터 유래된 폴립양 돌출물", 거리감각불능 거리감각과대및과소 거친피모 곤두선털 구강 혀의종창 종괴 귀의화농성 점액양분비물 귓밥이많음 악취 기침 다호흡 빠른호흡(빈호흡) 과호흡 머리기울기 머리흔들기 목소리변성 무기력 침울 졸림 생기없음 발작 실신 경련 간질발작 허탈 비출혈 코피 상부기도의비정상호흡음 코고는소리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 안구진탕 안구불수의적운동 연하곤란 연하장애 연하빈도증가 운동실조 협조불능 절뚝거림 넘어짐 재채기 점액양비강분비물 장액성 수양성 청색증 피부나점막이푸름 체중감소 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 후두 기관 인두의종창 종괴
26,비대성 골병증(Hypertrophic osteopathy),"개, 고양이","사지의 과도한 골증식을 야기하는 질환",거리감각불능 거리감각과대및과소 구토 기립불능 다우너 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 뒷다리만곡 굽음 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리통증 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 무기력 침울 졸림 생기없음 발열 고열비정상의폐포음 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리만곡 굽음 앞다리종창 종괴(관절부/비관절부위포함) 앞다리통증 앞다리파행 경직 절름발이 앞발 발가락종창 종괴 운동실조 협조불능 절뚝거림 넘어짐 이동거부 전신파행 경직 절름발이 점액양비강분비물 장액성 수양성 진전 화농성비강분비물
